image,gt,yolo_det,ensemble_masks,vetoed,yolo_tp,yolo_fp,yolo_fn,ensemble_tp,ensemble_fp,ensemble_fn
020282.jpg,4,4,3,1,4,0,0,3,0,1
020291.jpg,2,1,1,0,1,0,1,1,0,1
020292.jpg,1,1,1,0,1,0,0,1,0,0
020297.jpg,2,2,2,0,2,0,0,2,0,0
020301.jpg,4,4,4,0,4,0,0,4,0,0
020320.jpg,1,1,1,0,0,1,1,0,1,1
020323.jpg,3,2,2,0,2,0,1,2,0,1
020324.jpg,2,2,2,0,1,1,1,1,1,1
020335.jpg,2,2,2,0,2,0,0,2,0,0
020336.jpg,7,5,5,0,5,0,2,5,0,2
020340.jpg,2,2,2,0,2,0,0,2,0,0
020353.jpg,1,1,1,0,1,0,0,1,0,0
020362.jpg,1,1,1,0,1,0,0,1,0,0
020364.jpg,8,9,7,2,5,4,3,5,2,3
020368.jpg,2,2,2,0,2,0,0,2,0,0
020381.jpg,1,1,1,0,1,0,0,1,0,0
020386.jpg,1,1,1,0,1,0,0,1,0,0
020390.jpg,3,2,2,0,2,0,1,2,0,1
020396.jpg,4,3,3,0,3,0,1,3,0,1
020397.jpg,2,2,2,0,2,0,0,2,0,0
020400.jpg,3,3,3,0,3,0,0,3,0,0
020402.jpg,3,3,3,0,3,0,0,3,0,0
020417.jpg,2,2,2,0,2,0,0,2,0,0
020424.jpg,3,2,2,0,2,0,1,2,0,1
020439.jpg,1,1,1,0,1,0,0,1,0,0
020444.jpg,3,2,2,0,2,0,1,2,0,1
020445.jpg,2,2,2,0,2,0,0,2,0,0
020453.jpg,3,2,2,0,2,0,1,2,0,1
020456.jpg,3,3,3,0,3,0,0,3,0,0
020474.jpg,1,2,2,0,1,1,0,1,1,0
020480.jpg,2,1,1,0,1,0,1,1,0,1
020483.jpg,2,2,2,0,2,0,0,2,0,0
020488.jpg,3,3,3,0,2,1,1,2,1,1
030003.jpg,2,5,5,0,2,3,0,2,3,0
030008.jpg,7,7,6,1,6,1,1,6,0,1
030017.jpg,1,1,1,0,1,0,0,1,0,0
030022.jpg,2,1,1,0,1,0,1,1,0,1
030025.jpg,3,4,4,0,3,1,0,3,1,0
030026.jpg,2,2,2,0,2,0,0,2,0,0
030028.jpg,1,1,1,0,0,1,1,0,1,1
030031.jpg,4,4,4,0,3,1,1,3,1,1
030033.jpg,2,1,1,0,1,0,1,1,0,1
030037.jpg,1,1,1,0,1,0,0,1,0,0
030041.jpg,4,1,1,0,1,0,3,1,0,3
030043.jpg,3,5,5,0,3,2,0,3,2,0
030044.jpg,3,3,3,0,3,0,0,3,0,0
030047.jpg,1,1,1,0,1,0,0,1,0,0
030050.jpg,4,4,4,0,4,0,0,4,0,0
030064.jpg,2,2,2,0,2,0,0,2,0,0
030067.jpg,2,2,2,0,1,1,1,1,1,1
030070.jpg,1,1,1,0,1,0,0,1,0,0
030073.jpg,4,4,4,0,3,1,1,3,1,1
030084.jpg,4,3,3,0,3,0,1,3,0,1
030092.jpg,3,3,3,0,3,0,0,3,0,0
030097.jpg,1,2,2,0,1,1,0,1,1,0
030104.jpg,5,5,5,0,4,1,1,4,1,1
030108.jpg,1,1,0,1,1,0,0,0,0,1
030114.jpg,1,1,1,0,1,0,0,1,0,0
030117.jpg,1,1,1,0,1,0,0,1,0,0
030119.jpg,3,4,4,0,3,1,0,3,1,0
030129.jpg,2,2,2,0,2,0,0,2,0,0
030133.jpg,4,4,4,0,4,0,0,4,0,0
030136.jpg,1,1,1,0,1,0,0,1,0,0
030137.jpg,1,1,1,0,1,0,0,1,0,0
030138.jpg,4,4,4,0,4,0,0,4,0,0
030139.jpg,4,4,4,0,2,2,2,2,2,2
030149.jpg,1,3,3,0,1,2,0,1,2,0
030155.jpg,2,2,2,0,2,0,0,2,0,0
030161.jpg,3,3,3,0,3,0,0,3,0,0
030168.jpg,1,1,1,0,1,0,0,1,0,0
030173.jpg,1,1,1,0,1,0,0,1,0,0
030179.jpg,1,1,1,0,1,0,0,1,0,0
030192.jpg,2,2,2,0,2,0,0,2,0,0
030194.jpg,1,1,1,0,0,1,1,0,1,1
030195.jpg,7,6,6,0,6,0,1,6,0,1
030197.jpg,6,4,4,0,4,0,2,4,0,2
030211.jpg,2,2,2,0,2,0,0,2,0,0
030216.jpg,2,1,1,0,1,0,1,1,0,1
030219.jpg,3,3,3,0,3,0,0,3,0,0
030221.jpg,2,1,0,1,1,0,1,0,0,2
030224.jpg,2,2,2,0,2,0,0,2,0,0
030227.jpg,4,4,4,0,4,0,0,4,0,0
030234.jpg,5,4,4,0,4,0,1,4,0,1
030239.jpg,4,2,2,0,0,2,4,0,2,4
030240.jpg,4,2,1,1,2,0,2,1,0,3
030245.jpg,2,2,2,0,2,0,0,2,0,0
030247.jpg,4,4,4,0,3,1,1,3,1,1
030279.jpg,3,3,3,0,2,1,1,2,1,1
030285.jpg,3,3,3,0,3,0,0,3,0,0
030292.jpg,1,1,1,0,1,0,0,1,0,0
030293.jpg,2,1,1,0,1,0,1,1,0,1
030295.jpg,5,5,5,0,4,1,1,4,1,1
030300.jpg,6,2,2,0,2,0,4,2,0,4
030303.jpg,1,1,1,0,1,0,0,1,0,0
030307.jpg,6,3,3,0,2,1,4,2,1,4
030308.jpg,2,3,3,0,2,1,0,2,1,0
030324.jpg,3,3,3,0,3,0,0,3,0,0
030329.jpg,3,2,1,1,2,0,1,1,0,2
030347.jpg,1,1,1,0,1,0,0,1,0,0
030348.jpg,2,3,2,1,2,1,0,2,0,0
030381.jpg,6,5,5,0,5,0,1,5,0,1
030384.jpg,1,1,1,0,1,0,0,1,0,0
030385.jpg,3,3,2,1,3,0,0,2,0,1
030394.jpg,3,3,3,0,3,0,0,3,0,0
030399.jpg,3,2,2,0,2,0,1,2,0,1
030401.jpg,3,3,3,0,2,1,1,2,1,1
030406.jpg,1,1,1,0,1,0,0,1,0,0
030408.jpg,4,2,2,0,2,0,2,2,0,2
030417.jpg,1,1,1,0,1,0,0,1,0,0
030424.jpg,4,4,3,1,4,0,0,3,0,1
030429.jpg,4,4,4,0,4,0,0,4,0,0
030432.jpg,4,3,3,0,3,0,1,3,0,1
030433.jpg,4,4,4,0,4,0,0,4,0,0
030435.jpg,3,3,3,0,2,1,1,2,1,1
030436.jpg,5,5,5,0,5,0,0,5,0,0
030440.jpg,6,5,5,0,5,0,1,5,0,1
030450.jpg,6,5,5,0,5,0,1,5,0,1
030453.jpg,4,4,4,0,3,1,1,3,1,1
030462.jpg,4,4,4,0,4,0,0,4,0,0
040013.jpg,3,3,3,0,2,1,1,2,1,1
040015.jpg,3,3,3,0,3,0,0,3,0,0
040019.jpg,2,2,2,0,2,0,0,2,0,0
040022.jpg,1,1,1,0,0,1,1,0,1,1
040023.jpg,5,5,5,0,5,0,0,5,0,0
040035.jpg,3,3,3,0,2,1,1,2,1,1
040044.jpg,4,4,4,0,3,1,1,3,1,1
040054.jpg,6,6,5,1,6,0,0,5,0,1
040056.jpg,1,1,1,0,1,0,0,1,0,0
040057.jpg,5,5,5,0,3,2,2,3,2,2
040059.jpg,2,2,2,0,1,1,1,1,1,1
040065.jpg,1,1,1,0,1,0,0,1,0,0
040070.jpg,4,4,4,0,3,1,1,3,1,1
040076.jpg,1,1,1,0,1,0,0,1,0,0
040078.jpg,4,4,4,0,3,1,1,3,1,1
040079.jpg,2,2,2,0,2,0,0,2,0,0
040086.jpg,3,3,3,0,3,0,0,3,0,0
040089.jpg,4,3,3,0,3,0,1,3,0,1
040101.jpg,6,6,5,1,6,0,0,5,0,1
040106.jpg,6,6,6,0,6,0,0,6,0,0
040111.jpg,2,2,2,0,2,0,0,2,0,0
040112.jpg,10,9,8,1,9,0,1,8,0,2
040116.jpg,5,5,5,0,4,1,1,4,1,1
040127.jpg,8,8,6,2,7,1,1,6,0,2
040129.jpg,4,4,4,0,3,1,1,3,1,1
040145.jpg,1,1,1,0,1,0,0,1,0,0
040161.jpg,3,3,3,0,3,0,0,3,0,0
040166.jpg,3,3,3,0,3,0,0,3,0,0
040175.jpg,1,1,1,0,1,0,0,1,0,0
040178.jpg,4,4,4,0,4,0,0,4,0,0
040179.jpg,3,3,3,0,3,0,0,3,0,0
040185.jpg,3,3,3,0,3,0,0,3,0,0
040200.jpg,3,3,3,0,3,0,0,3,0,0
040203.jpg,5,5,5,0,4,1,1,4,1,1
040205.jpg,2,2,1,1,2,0,0,1,0,1
040207.jpg,2,2,2,0,2,0,0,2,0,0
040208.jpg,6,6,4,2,6,0,0,4,0,2
040218.jpg,2,2,2,0,2,0,0,2,0,0
040222.jpg,1,1,1,0,1,0,0,1,0,0
040228.jpg,4,4,4,0,4,0,0,4,0,0
040233.jpg,2,2,2,0,2,0,0,2,0,0
040248.jpg,4,4,4,0,4,0,0,4,0,0
040256.jpg,4,4,4,0,3,1,1,3,1,1
040259.jpg,2,2,1,1,2,0,0,1,0,1
040264.jpg,1,1,1,0,1,0,0,1,0,0
040290.jpg,1,1,1,0,1,0,0,1,0,0
040294.jpg,4,4,4,0,4,0,0,4,0,0
040296.jpg,1,1,1,0,1,0,0,1,0,0
040300.jpg,2,2,2,0,2,0,0,2,0,0
040301.jpg,12,11,11,0,11,0,1,11,0,1
040306.jpg,4,4,4,0,4,0,0,4,0,0
040308.jpg,9,9,9,0,9,0,0,9,0,0
040312.jpg,3,3,3,0,3,0,0,3,0,0
040314.jpg,8,8,8,0,8,0,0,8,0,0
040318.jpg,11,10,10,0,10,0,1,10,0,1
040319.jpg,8,4,4,0,3,1,5,3,1,5
040321.jpg,10,10,10,0,8,2,2,8,2,2
040323.jpg,4,4,4,0,4,0,0,4,0,0
040326.jpg,2,2,2,0,2,0,0,2,0,0
040331.jpg,4,4,4,0,2,2,2,2,2,2
040334.jpg,3,3,3,0,3,0,0,3,0,0
040343.jpg,6,5,5,0,4,1,2,4,1,2
040356.jpg,3,3,3,0,3,0,0,3,0,0
040372.jpg,5,5,5,0,5,0,0,5,0,0
